lb,ub,interval width,coverage,estimator,$n_{\mathrm{human}}$,$n_{\mathrm{effective}}$,num_trial
0.5737290925176167,0.920162703396042,0.3464336108784251,True,active,1149.0,1326.8800627423884,49
0.5885262553038916,0.924556444373772,0.3360301890698803,True,active+,1149.0,1451.2860997161315,49
0.6882504498362956,1.029616527358488,0.3413660775221925,True,spline,1149.0,1825.0884029188264,49
0.7129151508327887,1.0557500496218746,0.3428348987890859,True,spline+,1149.0,1920.6147258476065,49
0.6661420387863247,1.0752117707898514,0.4090697320035267,True,uniform,1149.0,1291.7696037007734,49
0.5827814288012934,0.970346903214993,0.3875654744136996,True,classical,1149.0,1139.1178747613708,49
0.6111356061493204,0.9848235819904346,0.3736879758411142,True,active,1149.0,1300.5906546722783,75
0.6201917962267025,0.9794558088384376,0.3592640126117352,True,active+,1149.0,1417.968847747706,75
0.6701198840419433,1.0018283109069197,0.3317084268649763,True,spline,1149.0,1831.1171748458544,75
0.6526290925865944,0.9672972170772036,0.3146681244906092,True,spline+,1149.0,1912.3016774041005,75
0.6761125856561735,1.0971856396536794,0.4210730539975059,True,uniform,1149.0,1263.2511358996078,75
0.6308009965691408,1.0427705047580045,0.4119695081888637,True,classical,1149.0,1171.9646714359676,75
0.5448044282899909,0.9058277305979764,0.3610233023079855,True,active,1149.0,1145.4860357477385,61
0.5585545382885858,0.8893004588185929,0.330745920530007,True,active+,1149.0,1368.9204031759032,61
0.627705008833904,0.9329404848008496,0.3052354759669456,True,spline,1149.0,1885.6198819904523,61
0.6495677946509646,0.957985445278888,0.3084176506279233,True,spline+,1149.0,1961.553422654711,61
0.6886337980422015,1.09282701924586,0.4041932212036585,True,uniform,1149.0,1388.370939422356,61
0.6070018568772906,1.013693626825149,0.4066917699478585,True,classical,1149.0,1125.9056195886683,61
0.6619168989970302,1.0868355732173285,0.424918674220298,True,active,1072.0,1204.137100552453,22
0.6354374494672183,1.0098576563965531,0.3744202069293351,True,active+,1072.0,1379.7683289201166,22
0.6143591794932202,0.9188298656222572,0.304470686129037,True,spline,1072.0,1827.516566792912,22
0.6190737542696303,0.9183552015667832,0.2992814472971528,True,spline+,1072.0,1903.9413952025593,22
0.6764154190097005,1.1012780317440645,0.424862612734364,True,uniform,1072.0,1246.3316316461826,22
0.6287935173552128,1.0611420811152712,0.4323485637600583,True,classical,1072.0,1081.2860073499612,22
0.6529645916609004,1.0549177160438543,0.4019531243829539,True,active,1072.0,1286.7917579233558,36
0.6780326498349675,1.0700249073008847,0.3919922574659172,True,active+,1072.0,1422.488763045702,36
0.6075724188184942,0.9126954288528208,0.3051230100343265,True,spline,1072.0,1788.1241730021684,36
0.6384201097383932,0.9497400563560222,0.3113199466176289,True,spline+,1072.0,1876.88826967792,36
0.5692666732914733,0.9500370922410624,0.3807704189495891,True,uniform,1072.0,1128.8626729407529,36
0.6919527998126451,1.1655295787623097,0.4735767789496645,True,classical,1072.0,1089.1182953622315,36
0.6403065551312588,1.0595530251035972,0.4192464699723384,True,active,919.0,1167.271761625287,17
0.6528245970669468,1.0497796641428478,0.396955067075901,True,active+,919.0,1312.2064011586358,17
0.554177235873794,0.8520968406462243,0.2979196047724303,True,spline,919.0,1599.8031698989682,17
0.5529307060163093,0.841687692263578,0.2887569862472686,True,spline+,919.0,1677.1647164712667,17
0.5918977651422634,1.0081064252681795,0.416208660125916,True,uniform,919.0,1044.257705272364,17
0.615342544078555,1.0635588084744538,0.4482162643958988,True,classical,919.0,988.8986008952212,17
0.4870002175871978,1.0334273856669351,0.5464271680797372,True,active,536.0,523.0873180813643,66
0.5486211028293264,1.0492805411209083,0.5006594382915819,True,active+,536.0,704.1793660578452,66
0.6531658429276083,1.1304546477695214,0.4772888048419131,True,spline,536.0,984.0469284437704,66
0.6937939445475138,1.1523274807731956,0.4585335362256818,True,spline+,536.0,1150.269240400922,66
0.5845824733587291,1.1523988827212217,0.5678164093624923,True,uniform,536.0,642.8048889896816,66
0.5155751654376247,1.0822557996394793,0.5666806342018545,True,classical,536.0,538.5096382076998,66
0.6385949635460171,1.16413446677716,0.525539503231143,True,active,689.0,821.2337240525472,52
0.6595054909918763,1.150048187803832,0.4905426968119557,True,active+,689.0,957.5948924109236,52
0.6230299143369412,1.010270468478372,0.3872405541414309,True,spline,689.0,1267.253978506686,52
0.5866405963753204,0.9280924656111272,0.3414518692358068,True,spline+,689.0,1407.1663629376017,52
0.578687641495003,1.076594152776721,0.4979065112817181,True,uniform,689.0,768.3208244770169,52
0.4902421844941614,0.9606192081621564,0.470377023667995,True,classical,689.0,654.370544711918,52
0.6846150600288953,1.1705593879862726,0.4859443279573773,True,active,766.0,1029.1846035124129,17
0.6841834962091606,1.1281383059302486,0.4439548097210879,True,active+,766.0,1183.9377824723754,17
0.6817991805121639,1.0737455924565371,0.3919464119443732,True,spline,766.0,1435.4758435455203,17
0.6649293787604228,1.0262313836971857,0.3613020049367629,True,spline+,766.0,1572.2591755957783,17
0.6096506329830654,1.0519317576621106,0.4422811246790451,True,uniform,766.0,995.0695760934816,17
0.5391182575414178,1.020203441950205,0.4810851844087872,True,classical,766.0,727.84582339348,17
0.6154482221225213,0.9843967440710544,0.368948521948533,True,active,1149.0,1342.2645637700443,6
0.615508907572173,0.9669891979563228,0.3514802903841497,True,active+,1149.0,1450.994764498506,6
0.6543750795305179,0.9751268952823846,0.3207518157518667,True,spline,1149.0,1860.9699081400013,6
0.6683047506430573,0.9869757516060272,0.3186710009629699,True,spline+,1149.0,1947.734687298884,6
0.6916824119713959,1.1074133357772202,0.4157309238058243,True,uniform,1149.0,1336.6968902410224,6
0.6761935437474214,1.1383815135857422,0.4621879698383209,True,classical,1149.0,1091.3342197200077,6
0.6892748057016055,1.219405719803076,0.5301309141014704,True,active,689.0,909.8290447400824,46
0.6903016834993525,1.1687329812654634,0.4784312977661109,True,active+,689.0,1067.9845495691295,46
0.6477030870762828,1.0645765441975994,0.4168734571213166,True,spline,689.0,1199.2257094405595,46
0.6808835681312909,1.082642849624103,0.401759281492812,True,spline+,689.0,1376.6873089910082,46
0.4848966356748466,0.9310342605614744,0.4461376248866279,True,uniform,689.0,695.7670028477362,46
0.612303252624358,1.1762761945976203,0.5639729419732623,True,classical,689.0,694.657087147278,46
0.511406418510368,1.0507813743749226,0.5393749558645545,True,active,459.0,570.9833955815357,2
0.526373378225711,1.0081912028690598,0.4818178246433489,True,active+,459.0,701.0399283580696,2
0.6885713170479352,1.2236394411423883,0.5350681240944534,True,spline,459.0,895.6836877762231,2
0.731115465306777,1.2468298312893769,0.5157143659825999,True,spline+,459.0,1039.2049044966473,2
0.7560463351914539,1.387269327934902,0.6312229927434481,True,uniform,459.0,803.6666783596133,2
0.8513490718352462,2.043995786649262,1.192646714814016,False,classical,459.0,386.002134869297,2
0.4935546196458973,0.9513469828174056,0.4577923631715083,True,active,689.0,687.5534563814088,91
0.5240389258093966,0.9605598710704996,0.4365209452611031,True,active+,689.0,806.4265927775103,91
0.5676405519440132,0.936201110550916,0.3685605586069029,True,spline,689.0,1182.783129124038,91
0.5811074376489641,0.9349132945792462,0.3538058569302821,True,spline+,689.0,1309.4977299403924,91
0.5462613181264753,1.0166620048016457,0.4704006866751704,True,uniform,689.0,767.3622851968403,91
0.6610454105226293,1.217350313613758,0.5563049030911287,True,classical,689.0,794.167289802078,91
0.5892808818743739,1.0386680575180969,0.4493871756437227,True,active,689.0,921.7056432207476,85
0.5798286562987804,0.9896038132564924,0.4097751569577118,True,active+,689.0,1036.1590992136964,85
0.5783582623055111,0.9359021266375984,0.3575438643320873,True,spline,689.0,1278.1322588161872,85
0.590355244381917,0.9373624972458467,0.3470072528639298,True,spline+,689.0,1385.1775195888556,85
0.6006207652019816,1.0927585923607748,0.4921378271587932,True,uniform,689.0,826.6375945680187,85
0.6293833804044084,1.2523499969783107,0.6229666165739023,True,classical,689.0,625.4836769090733,85
0.5034290965370296,1.0011676500790034,0.4977385535419738,True,active,536.0,626.4978424452949,99
0.5432177035619504,1.0147255371439337,0.4715078335819832,True,active+,536.0,758.3486296236845,99
0.5640305854064979,0.9659806196967166,0.4019500342902187,True,spline,536.0,1022.862810046878,99
0.5802115037146379,0.9580163477759776,0.3778048440613397,True,spline+,536.0,1177.4576335543504,99
0.6094536742572986,1.1547605919921533,0.5453069177348547,True,uniform,536.0,724.9718582896322,99
0.562730815508609,1.197820871782402,0.6350900562737929,True,classical,536.0,518.8220585555114,99
0.6472491752762051,1.1840694279789443,0.5368202527027395,True,active,613.0,811.6937606827074,58
0.5873943139036768,1.0344178101279184,0.4470234962242416,True,active+,613.0,924.6195005868136,58
0.682898236072898,1.166661755602604,0.483763519529706,True,spline,613.0,1032.3555715927907,58
0.699673816295347,1.148513246225865,0.4488394299305179,True,spline+,613.0,1205.480006081813,58
0.3621304644238627,0.8165504653916053,0.4544200009677425,True,uniform,613.0,447.8864284205283,58
0.4011668879465461,0.8234794998810623,0.4223126119345161,True,classical,613.0,572.5145094775781,58
0.4679361718949261,0.961006216443508,0.4930700445485818,True,active,613.0,571.7385723746906,70
0.5209550168723499,1.00528615419846,0.48433113732611,True,active+,613.0,685.2157405467698,70
0.5474797933782936,0.9180162621335732,0.3705364687552795,True,spline,613.0,1108.2644691044145,70
0.5709702390081082,0.9280593598663164,0.3570891208582082,True,spline+,613.0,1254.8675949342685,70
0.47010629741569,0.926453514065668,0.4563472166499778,True,uniform,613.0,643.3699743750421,70
0.6446677471247291,1.2289983794057389,0.5843306322810098,True,classical,613.0,711.2522304897989,70
0.6393969614866544,1.0213838190356868,0.3819868575490324,True,active,1072.0,1349.6683020682506,8
0.6563315433616226,1.0288005234725477,0.3724689801109251,True,active+,1072.0,1465.5909075036054,8
0.593775986789778,0.8880130701567353,0.2942370833669572,True,spline,1072.0,1827.85163600246,8
0.6190628068362073,0.918304702323886,0.2992418954876786,True,spline+,1072.0,1904.3016733745687,8
0.5103780346343869,0.8649713569224718,0.3545933222880849,True,uniform,1072.0,1063.9479741612697,8
0.4912590885185547,0.8294858021437063,0.3382267136251515,True,classical,1072.0,1079.073440428915,8
0.7238909061389469,1.3339149782153157,0.6100240720763686,True,active,613.0,792.5480948792228,64
0.7310657254717456,1.3107943054842308,0.5797285800124852,True,active+,613.0,868.5283009768544,64
0.640758053244987,1.0925318591516664,0.4517738059066793,True,spline,613.0,1039.9330843444188,64
0.6316162805986657,1.036010069068806,0.4043937884701402,True,spline+,613.0,1209.1818539933104,64
0.4009012433179525,0.8145801743655208,0.4136789310475682,True,uniform,613.0,589.1124820268561,64
0.6279179847705035,1.2555930203786108,0.6276750356081072,True,classical,613.0,616.6382679775736,64
0.5468237446561344,0.9813800590891284,0.434556314432994,True,active,842.0,865.7146479601133,98
0.5576005618717675,0.9444218844428224,0.3868213225710549,True,active+,842.0,1066.431300491818,98
0.6077506680639316,0.9532483511192604,0.3454976830553287,True,spline,842.0,1461.5044196467331,98
0.6456795329776431,0.9957649273823586,0.3500853944047154,True,spline+,842.0,1577.7789510987916,98
0.5419590857632198,0.9608392885161812,0.4188802027529614,True,uniform,842.0,903.0482847864694,98
0.5966192881328384,1.0684435085928643,0.4718242204600259,True,classical,842.0,872.1279019320444,98
0.3463527625705622,0.8778275749975806,0.5314748124270183,True,active,459.0,342.35772111874473,84
0.4447443343262459,0.9409524964585604,0.4962081621323145,True,active+,459.0,527.253622591505,84
0.7078813879648136,1.2716713551272347,0.5637899671624211,True,spline,459.0,862.8278964308076,84
0.7063804681094996,1.227648299407739,0.5212678312982391,True,spline+,459.0,969.2981113689086,84
0.4059471411022302,0.9133472535206876,0.5074001124184575,True,uniform,459.0,450.31001382577136,84
0.5183314775721811,1.186659279528763,0.6683278019565818,True,classical,459.0,431.6006576158419,84
0.7889237814494611,1.459953307943417,0.671029526493956,True,active,459.0,781.6222029350522,90
0.6227114060529413,1.1520973528030478,0.5293859467501065,True,active+,459.0,782.2164878145963,90
0.7065155546650457,1.2698267189511248,0.5633111642860791,True,spline,459.0,861.4165021517213,90
0.7387648780363661,1.261324086497819,0.5225592084614529,True,spline+,459.0,1034.743393995268,90
0.3043209358178751,0.8083291606366138,0.5040082248187386,True,uniform,459.0,310.277799016162,90
0.7954606150340627,1.6726651460537127,0.87720453101965,True,classical,459.0,536.0021337289777,90
0.6239639393035082,1.0331815348045177,0.4092175955010092,True,active,996.0,1164.2635846032151,30
0.6329139863869743,1.0346500017724456,0.4017360153854713,True,active+,996.0,1225.801720354995,30
0.5894694507204148,0.8923850603840379,0.3029156096636231,True,spline,996.0,1721.9620496075531,30
0.6065977370255086,0.909706782975923,0.3031090459504144,True,spline+,996.0,1802.930599343216,30
0.5637759686193929,0.9601686990319892,0.3963927304125964,True,uniform,996.0,1044.4265906284445,30
0.4706534255567106,0.8277436085281908,0.3570901829714802,True,classical,996.0,928.9357854468852,30
0.5507006481919153,1.018819452945162,0.4681188047532466,True,active,766.0,782.3377977842582,1
0.5779392651097774,1.002797322933386,0.4248580578236085,True,active+,766.0,975.0115419421644,1
0.5399382269212759,0.8691707439967922,0.3292325170755162,True,spline,766.0,1306.3820114846487,1
0.5432345200128097,0.8586116151660811,0.3153770951532714,True,spline+,766.0,1412.9725045944544,1
