lb,ub,interval width,coverage,estimator,$n_{\mathrm{human}}$,$n_{\mathrm{effective}}$
0.6181412502325715,1.3470128057486406,0.7288715555160691,True,active,459.0,534.5288639417869
0.7846660171683141,1.4024051343967896,0.6177391172284755,True,spline,459.0,961.7960787102262
0.6418968417478085,1.2792927157321816,0.6373958739843731,True,active + tuning,459.0,681.9096274369049
0.7694761966599896,1.3236778774837776,0.5542016808237881,True,spline + tuning,459.0,1102.1253258921795
0.5222789533817254,1.2593699823421252,0.7370910289603998,True,uniform,459.0,418.63664141034906
0.34290909718596185,0.8559519039536342,0.5130428067676723,True,classical,459.0,353.8630537299769
0.5819167149898613,1.2511770298290752,0.6692603148392139,True,active,459.0,553.4274254857588
0.6490819104669551,1.1743450395020762,0.5252631290351212,True,spline,459.0,922.5552462877988
0.6701811500796288,1.3437856776035588,0.6736045275239301,True,active + tuning,459.0,670.0758219920541
0.659082840642621,1.1526722136715637,0.4935893730289427,True,spline + tuning,459.0,1037.9083186799126
0.5452142470450668,1.1776121043371268,0.63239785729206,True,uniform,459.0,546.9031928386771
0.5600155407030397,1.4085835944814744,0.8485680537784347,True,classical,459.0,348.0354577730418
0.6137478928884637,1.3721957632849442,0.7584478703964805,True,active,459.0,500.9835767844381
0.5717657040101749,1.0263709621056896,0.45460525809551466,True,spline,459.0,947.4836571402426
0.6284472060874863,1.2763484528422167,0.6479012467547304,True,active + tuning,459.0,646.0673451393807
0.5976154889563,1.037790522200428,0.440175033244128,True,spline + tuning,459.0,1064.7361839526768
0.4390166964289896,1.088664239117576,0.6496475426885864,True,uniform,459.0,393.21656588526923
0.6487669845418197,1.5139138362218292,0.8651468516800095,True,classical,459.0,412.3657560810161
0.5735653603860045,1.1984182136980615,0.624852853312057,True,active,459.0,597.2620768631274
0.6190505273884519,1.1562096724899613,0.5371591451015094,True,spline,459.0,830.9997002838423
0.6016138770191852,1.1776611932551133,0.5760473162359281,True,active + tuning,459.0,718.875549680309
0.6202772323325895,1.107442112085347,0.4871648797527576,True,spline + tuning,459.0,965.2641998951041
0.6994466993122113,1.5365787591877837,0.8371320598755725,True,uniform,459.0,523.5877120504113
0.6984459477960401,1.6733382269013217,0.9748922791052816,True,classical,459.0,387.8790244824308
0.756336679451921,1.4955555973941501,0.7392189179422292,True,active,459.0,697.7409603576946
0.5806756816383891,1.0162388369422422,0.43556315530385303,True,spline,459.0,1035.379120345947
0.7407627396660816,1.3885235395504707,0.6477607998843891,True,active + tuning,459.0,821.5034342136316
0.6811995003685329,1.1641261007436303,0.4829266003750974,True,spline + tuning,459.0,1129.3936958042646
0.6894897827895652,1.4879133722601237,0.7984235894705585,True,uniform,459.0,548.1653859136957
0.3379046547393289,0.849663460642372,0.5117588059030431,True,classical,459.0,348.2610778010262
0.7460418403251093,1.4842384122386258,0.7381965719135165,True,active,459.0,685.402866044074
0.7006757739844057,1.2505214292756377,0.549845655291232,True,spline,459.0,966.5012851445646
0.7550888715352623,1.43543882691834,0.6803499553830777,True,active + tuning,459.0,785.9000610463304
0.657088022881962,1.1281774237377251,0.4710894008557631,True,spline + tuning,459.0,1109.9632795068155
0.7096557067442746,1.5286851049630459,0.8190293982187713,True,uniform,459.0,550.7325647018012
0.34310143188594977,0.8576085778730869,0.5145071459871371,True,classical,459.0,352.8032724997488
0.5813918001685227,1.2105920139082917,0.6292002137397691,True,active,459.0,602.8876417234727
0.758548242266133,1.3874984571634212,0.6289502148972882,True,spline,459.0,889.4169216057595
0.5908323047958896,1.1478338173089706,0.557001512513081,True,active + tuning,459.0,735.3583684356294
0.7315897455389504,1.2716429289642455,0.5400531834252951,True,spline + tuning,459.0,1061.1054324101328
0.6061694394913819,1.3158100828039663,0.7096406433125844,True,uniform,459.0,539.8933561485984
0.6577934413613351,1.626759531031425,0.9689660896700898,True,classical,459.0,361.16512945378196
0.6427089474732439,1.2702138514577892,0.6275049039845453,True,active,459.0,698.8021477655158
0.5957638222048652,1.0569014086843622,0.461137586479497,True,spline,459.0,986.9012548314885
0.6207875499406607,1.1652928680711199,0.5445053181304592,True,active + tuning,459.0,817.7951514813507
0.6280854430876188,1.0771418563503874,0.4490564132627686,True,spline + tuning,459.0,1114.7035762164999
0.3792087529797523,1.0325150110037975,0.6533062580240452,True,uniform,459.0,323.2358891556375
0.5858134563382119,1.3691701317529348,0.7833566754147229,True,classical,459.0,410.83345611898744
0.3723172749758371,0.9808010274993443,0.6084837525235072,True,active,459.0,345.66522179085877
0.6519386814803574,1.1685307882212983,0.5165921067409409,True,spline,459.0,952.3713848862698
0.43945160671319655,0.970293323690743,0.5308417169775463,True,active + tuning,459.0,516.936764916682
0.629602169392457,1.0858990058899727,0.45629683649751573,True,spline + tuning,459.0,1091.5719150227853
0.3342797738450553,0.89784938633563,0.5635696124905747,True,uniform,459.0,332.22355542780633
0.3770064617325683,0.9128604959755446,0.5358540342429763,True,classical,459.0,378.63372208775326
0.7023672825094555,1.5055927303815013,0.8032254478720459,True,active,459.0,557.8305496059687
0.5865594888785016,1.0184494828146389,0.43188999393613725,True,spline,459.0,1065.2732510463688
0.7025184638384409,1.394729234708915,0.6922107708704742,True,active + tuning,459.0,689.5898901343517
0.610754766822189,1.0271671385146837,0.4164123716924947,True,spline + tuning,459.0,1200.0110602948394
0.4932243243455387,1.180134050180232,0.6869097258346932,True,uniform,459.0,426.10339651720386
0.5771432874241944,1.4089941980605614,0.831850910636367,True,classical,459.0,371.6915900180733
0.6157674798121069,1.3114571005862445,0.6956896207741377,True,active,459.0,567.405473798663
0.608458665596874,1.07220363438893,0.46374496879205607,True,spline,459.0,1010.4172860306772
0.5530714956694395,1.0942142871332114,0.541142791463772,True,active + tuning,459.0,696.640795380974
0.5874613063834314,1.0008957376366057,0.41343443125317425,True,spline + tuning,459.0,1142.2769924961617
0.4642751348972557,1.1154339816071006,0.6511588467098449,True,uniform,459.0,422.12426033205753
0.3231272237051165,0.8456117902737516,0.5224845665686351,True,classical,459.0,319.94542587510773
0.4913111940540776,1.1799746367665889,0.6886634427125113,True,active,459.0,422.46253048012755
0.573154888836325,1.032415369776615,0.45926048094028993,True,spline,459.0,936.4227994074242
0.5576154633509212,1.1879348639146068,0.6303194005636856,True,active + tuning,459.0,566.9892965674721
0.5378396853374104,0.9326438534929614,0.39480416815555097,True,spline + tuning,459.0,1070.3095094104765
1.0974157998800282,2.0128497142582256,0.9154339143781973,False,uniform,459.0,881.3941607704647
0.4719644527340044,1.2423583223757253,0.770393869641721,True,classical,459.0,316.09024418535796
0.5737671187052731,1.204554061199163,0.6307869424938899,True,active,459.0,589.6276795203274
0.6829422352054525,1.2221706385033588,0.5392284032979063,True,spline,459.0,957.5446804979929
0.515579342389631,1.0128469981194521,0.4972676557298211,True,active + tuning,459.0,711.3166191829117
0.6286806254728716,1.0815277569392256,0.452847131466354,True,spline + tuning,459.0,1101.9338022849959
0.44729366023308476,1.0685190072417352,0.6212253470086504,True,uniform,459.0,427.67623317988756
0.4541653147228964,1.029799731432995,0.5756344167100986,True,classical,459.0,441.80793127974164
0.6519564507508897,1.3710910121441786,0.7191345613932889,True,active,459.0,586.8656435689138
0.5763845517094466,1.0072880474407426,0.43090349573129605,True,spline,459.0,1040.6883440724725
0.5931992387477935,1.1615895161933476,0.5683902774455541,True,active + tuning,459.0,718.1388640254775
0.583777625096672,0.9896402131373554,0.4058625880406834,True,spline + tuning,459.0,1164.1034717626023
0.603129823508236,1.2827820691851648,0.6796522456769288,True,uniform,459.0,569.4684512217116
0.6102844194467761,1.46357322905524,0.8532888096084638,True,classical,459.0,386.9988802943525
0.30773972596903115,0.8082160090871189,0.5004762831180878,False,active,459.0,347.8511479159566
0.6851587883687865,1.2425238219891028,0.5573650336203163,True,spline,459.0,915.3088172358041
0.3706922449537341,0.8112837054436655,0.44059146048993136,False,active + tuning,459.0,528.651530460762
0.7010403141445183,1.2167375508689826,0.5156972367244643,True,spline + tuning,459.0,1066.8176105271507
0.9046856503736932,1.7499543055663793,0.8452686551926861,False,uniform,459.0,745.0696668438366
0.8413708851093504,1.965292125840377,1.1239212407310266,False,classical,459.0,411.41000897978
0.43335396764352085,1.0525241571158972,0.6191701894723763,True,active,459.0,411.8459286306517
0.6606892563160988,1.2028681979811713,0.5421789416650725,True,spline,459.0,903.3375469763507
0.44922000814373825,0.9500804920628401,0.5008604839191018,True,active + tuning,459.0,578.0460643616277
